tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
52,false,q0,0,0.5,600,BLUE,1,-0.152824,0.171179,35526
687,false,q0,-1,0.731059,597,BLUE,2,-0.152824,0.171179,35526
1317,false,q0,-2,0.880797,591,BLUE,1,-0.152824,0.171179,35526
1941,false,q0,-3,0.952574,576,BLUE,1,-0.152824,0.171179,35526
2550,false,q0,-4,0.982014,538,BLUE,1,-0.152824,0.171179,35526
3164,false,q0,-5,0.993307,460,BLUE,43,-0.152824,0.171179,35526
3657,false,q0,-6,0.997527,340,BLUE,1,-0.152824,0.171179,35526
4030,false,q0,-7,0.999089,219,BLUE,1,-0.152824,0.171179,35526
4282,false,q0,-8,0.999665,141,BLUE,1,-0.152824,0.171179,35526
4456,false,q0,-9,0.999877,104,BLUE,1,-0.152824,0.171179,35526
4593,false,q0,-10,0.999955,88,BLUE,1,-0.152824,0.171179,35526
4714,false,q0,-11,0.999983,82,BLUE,1,-0.152824,0.171179,35526
4829,false,q0,-12,0.999994,80,BLUE,1,-0.152824,0.171179,35526
4942,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5054,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5166,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5278,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5390,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5502,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5614,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5726,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5838,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
5950,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6062,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6174,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6286,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6398,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6510,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6622,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6734,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6846,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
6958,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7070,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7182,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7294,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7406,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7518,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7630,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7742,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7854,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
7966,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8078,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8190,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8302,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8414,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8526,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8638,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8750,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8862,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
8974,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9086,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9198,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9310,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9422,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9534,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9646,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9758,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9870,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
9982,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10094,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10206,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10318,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10430,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10542,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10654,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10766,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10878,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
10990,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11102,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11214,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11326,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11438,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11550,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11705,false,q0,-12,0.999994,79,BLUE,43,-0.152824,0.171179,35526
11817,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
11929,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12041,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12153,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12265,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12377,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12489,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12601,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12713,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12825,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
12937,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13049,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13161,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13273,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13385,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13497,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13609,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13721,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13833,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
13945,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14057,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14169,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14281,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14393,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14505,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14617,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14729,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14841,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
14953,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15065,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15177,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15289,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15401,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15513,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15625,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15737,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15849,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
15961,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16073,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16185,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16297,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16409,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16521,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16633,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16745,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16857,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
16969,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17081,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17193,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17305,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17417,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17529,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17641,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17753,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17865,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
17977,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18089,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18201,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18313,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18425,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18537,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18649,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18761,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18873,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
18985,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19097,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19209,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19364,false,q0,-12,0.999994,79,BLUE,43,-0.152824,0.171179,35526
19476,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19588,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19700,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19812,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
19924,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20036,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20148,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20260,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20372,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20484,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20596,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20708,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20820,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
20932,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21044,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21156,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21268,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21380,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21492,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21604,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21716,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21828,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
21940,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22052,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22164,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22276,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22388,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22500,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22612,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22724,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22836,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
22948,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23060,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23172,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23284,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23396,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23508,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23620,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23732,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23844,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
23956,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24068,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24180,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24292,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24404,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24516,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24628,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24740,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24852,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
24964,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25076,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25188,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25300,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25412,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25524,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25636,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25748,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25860,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
25972,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26084,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26196,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26308,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26420,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26532,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26644,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26756,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
26868,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,35526
52,false,q0,0,0.5,600,BLUE,1,-0.152824,0.171179,66990
685,false,q0,-1,0.731059,597,BLUE,1,-0.152824,0.171179,66990
1315,false,q0,-2,0.880797,591,BLUE,1,-0.152824,0.171179,66990
1939,false,q0,-3,0.952574,576,BLUE,1,-0.152824,0.171179,66990
2548,false,q0,-4,0.982014,538,BLUE,1,-0.152824,0.171179,66990
3119,false,q0,-5,0.993307,460,BLUE,1,-0.152824,0.171179,66990
3655,false,q0,-6,0.997527,340,BLUE,43,-0.152824,0.171179,66990
4028,false,q0,-7,0.999089,219,BLUE,1,-0.152824,0.171179,66990
4280,false,q0,-8,0.999665,141,BLUE,1,-0.152824,0.171179,66990
4454,false,q0,-9,0.999877,104,BLUE,1,-0.152824,0.171179,66990
4591,false,q0,-10,0.999955,88,BLUE,1,-0.152824,0.171179,66990
4712,false,q0,-11,0.999983,82,BLUE,1,-0.152824,0.171179,66990
4827,false,q0,-12,0.999994,80,BLUE,1,-0.152824,0.171179,66990
4940,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5052,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5164,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5276,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5388,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5500,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5612,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5724,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5836,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
5948,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6060,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6172,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6284,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6396,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6508,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6620,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6732,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6844,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
6956,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7068,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7180,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7292,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7404,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7516,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7628,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7740,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7852,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
7964,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8076,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8188,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8300,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8412,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8524,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8636,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8748,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8860,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
8972,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9084,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9196,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9308,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9420,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9532,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9644,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9756,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9868,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
9980,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
10092,false,q0,-12,0.999994,79,BLUE,1,-0.152824,0.171179,66990
