=== SUMMARY OF EXPERIMENT SEEDS ===
Date: Tue Jun 23 15:56:03 2026
-----------------------------------
Strategy     | Exp #  | Seed      
-----------------------------------
selective    | 1      | 35526     
selective    | 2      | 66990     
selective    | 3      | 36764     
selective    | 4      | 39628     
selective    | 5      | 10043     
selective    | 6      | 11282     
selective    | 7      | 32462     
selective    | 8      | 42568     
selective    | 9      | 60765     
selective    | 10     | 23373     
greedy       | 1      | 5854      
greedy       | 2      | 62934     
greedy       | 3      | 34376     
greedy       | 4      | 42261     
greedy       | 5      | 40370     
greedy       | 6      | 62279     
greedy       | 7      | 22943     
greedy       | 8      | 87957     
greedy       | 9      | 91776     
greedy       | 10     | 92524     
