tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
0.050,false,qupa_F7,0.000000,0.500000,60.000,TYPE_B,0.050,0,0,0
66.250,false,qupa_F7,-1.000000,0.731059,59.651,TYPE_B,3.200,0,0,0
135.650,false,qupa_F7,-2.000000,0.880797,59.062,TYPE_B,6.400,0,0,0
201.250,false,qupa_F7,-3.000000,0.952574,57.526,TYPE_B,3.200,0,0,0
264.851,false,qupa_F7,-4.000000,0.982014,53.781,TYPE_B,3.000,0,0,0
324.850,false,qupa_F7,-5.000000,0.993307,45.968,TYPE_B,3.200,0,0,0
377.050,false,qupa_F7,-6.000000,0.997527,33.913,TYPE_B,3.000,0,0,0
417.050,false,qupa_F7,-7.000000,0.999089,21.858,TYPE_B,3.000,0,0,0
445.050,false,qupa_F7,-8.000000,0.999665,14.045,TYPE_B,3.000,0,0,0
465.250,false,qupa_F7,-9.000000,0.999877,10.300,TYPE_B,3.000,0,0,0
482.050,false,qupa_F7,-10.000000,0.999955,8.764,TYPE_B,3.200,0,0,0
497.050,false,qupa_F7,-11.000000,0.999983,8.175,TYPE_B,3.200,0,0,0
511.250,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
525.650,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.200,0,0,0
540.050,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.200,0,0,0
554.450,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
568.651,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
583.051,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
597.250,false,qupa_F7,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
