tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
3.004,false,qupa_7E,0.000000,0.500000,60.000,TYPE_A,3.004,0,0,0
69.404,false,qupa_7E,3.700000,0.975873,55.246,TYPE_A,3.200,0,0,0
131.205,false,qupa_7E,7.400000,0.999389,18.147,TYPE_A,3.200,0,0,0
155.604,false,qupa_7E,11.100000,0.999985,8.142,TYPE_A,3.200,0,0,0
170.004,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
184.204,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
198.605,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
213.204,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
227.604,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
241.804,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
256.204,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
270.405,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
284.604,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
299.004,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
313.404,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
327.604,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
342.004,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
356.404,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
370.804,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
385.005,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
399.404,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
413.804,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
428.204,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
442.604,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
457.204,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
471.404,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
486.004,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
500.404,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
514.604,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
529.005,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
543.604,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
557.804,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
572.204,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
586.404,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
