tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
6.041,false,qupa_AE,0.000000,0.500000,60.000,TYPE_A,6.041,0,0,0
72.241,false,qupa_AE,2.800000,0.942676,57.957,TYPE_A,3.000,0,0,0
136.441,false,qupa_AE,5.600000,0.996316,39.062,TYPE_A,3.000,0,0,0
181.841,false,qupa_AE,8.400000,0.999775,12.166,TYPE_A,3.000,0,0,0
200.441,false,qupa_AE,11.200000,0.999986,8.112,TYPE_A,3.200,0,0,0
214.841,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
229.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
243.641,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
257.841,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
272.241,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
286.841,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
301.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
315.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
329.641,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
344.241,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
358.641,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
373.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
387.241,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
401.641,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
415.841,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
430.241,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
444.641,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
458.841,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
473.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
487.241,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
501.441,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
515.441,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
530.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
544.241,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
558.441,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
572.841,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
587.041,false,qupa_AE,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
