tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
0.032,false,qupa_AF,0.000000,0.500000,60.000,TYPE_A,0.032,0,0,0
66.232,false,qupa_AF,1.900000,0.869892,59.149,TYPE_A,3.000,0,0,0
131.832,false,qupa_AF,3.800000,0.978119,54.796,TYPE_A,3.200,0,0,0
192.832,false,qupa_AF,5.700000,0.996665,37.797,TYPE_A,3.200,0,0,0
237.032,false,qupa_AF,7.600000,0.999500,16.590,TYPE_A,3.200,0,0,0
259.832,false,qupa_AF,9.500000,0.999925,9.355,TYPE_A,3.000,0,0,0
275.432,false,qupa_AF,11.400000,0.999989,8.061,TYPE_A,3.200,0,0,0
289.832,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
304.432,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
319.032,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
333.432,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
348.032,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
362.632,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
376.832,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
391.432,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
406.032,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
420.632,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
435.032,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
449.233,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
463.632,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
477.833,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
492.432,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
506.632,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
521.032,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
535.632,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
549.832,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
564.432,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
578.432,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
592.832,false,qupa_AF,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
