tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
0.022,false,qupa_7E,0.000000,0.500000,60.000,TYPE_A,0.022,0,0,0
66.022,false,qupa_7E,3.700000,0.975873,55.246,TYPE_A,3.000,0,0,0
127.423,false,qupa_7E,7.400000,0.999389,18.147,TYPE_A,3.000,0,0,0
151.822,false,qupa_7E,11.100000,0.999985,8.142,TYPE_A,3.200,0,0,0
166.423,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
180.822,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
195.422,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
209.822,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
224.223,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
238.422,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
252.822,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
266.822,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
281.023,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
295.422,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
309.622,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
324.022,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
338.223,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
352.422,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
366.623,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
381.022,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
395.223,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
409.622,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
424.022,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
438.223,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.000,0,0,0
452.822,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,3.200,0,0,0
